Zip;City;latitude;longitude;Country
2200;nampteuil sous muret;49.305284958;3.433858092;France
2300;neuflieux;49.617084777;3.159479468;France
2470;neuilly st front;49.162859433;3.264251606;France
2150;nizy le comte;49.574436225;4.030266889;France
2600;noroy sur ourcq;49.204123313;3.207797063;France
2270;nouvion et catillon;49.707297768;3.493588723;France
2500;ohis;49.918552317;4.011905333;France
2850;passy sur marne;49.066037275;3.574160645;France
2200;pernant;49.375849613;3.229862367;France
2130;villers agron aiguizy;49.163077859;3.716339895;France
2120;wiege faty;49.883202459;3.713383147;France
9600;aigues vives;43.000605933;1.877001309;France
9310;albies;42.75449595;1.698141074;France
9240;alzen;42.981477991;1.455583307;France
9800;antras;42.873136055;0.901076172;France
9250;appy;42.804212622;1.741572347;France
9400;arnave;42.852578527;1.6462588500000002;France
9800;arrien en bethmale;42.877897905;1.036286961;France
9310;aston;42.681045186;1.659353899;France
9230;barjac;43.062358722;1.134894033;France
9100;benagues;43.077767567;1.609995993;France
9500;besset;43.072394781;1.846291671;France
9250;bestiac;42.785299496;1.799260845;France
9160;betchat;43.084337113;1.02905351;France
9100;bezac;43.152935541;1.5735185180000002;France
9800;bonac irazein;42.840298273;0.982966446;France
9310;bouan;42.792392257;1.643365341;France
9320;boussenac;42.907697093;1.391199599;France
9000;burret;42.951550607;1.472306905;France
9120;calzan;43.033346295;1.741123428;France
9300;carla de roquefort;42.975332692;1.7620467190000002;France
9420;castelnau durban;42.992428714;1.338333517;France
9130;casteras;43.127912251;1.403548506;France
9350;castex;43.166036647;1.319505787;France
9120;cazaux;43.052924497;1.519269138;France
5800;st maurice en valgodemard;44.798496053;6.112547256;France
7110;chassiers;44.566071049;4.301942115;France
7110;chazeaux;44.595318348;4.298677117;France
7130;cornas;44.965893212;4.841157717;France
7000;coux;44.743230369;4.622473789;France
7170;darbres;44.659793314;4.515767253;France
7160;dornas;44.851597834;4.357764189;France
7110;largentiere;44.533435177;4.301173733;France
7160;mariac;44.885755486;4.353058652;France
7140;montselgues;44.533398573;4.003739641;France
7000;privas;44.722434276;4.594124449;France
7110;rocles;44.568283822;4.207891882;France
7160;st cierge sous le cheylard;44.926511605;4.453931301;France
7100;st marcel les annonay;45.2886497;4.629391603;France
7140;st pierre st jean;44.48245206;4.101861085;France
7190;st pierreville;44.818862746;4.481469211;France
7140;les vans;44.392227568;4.114704212;France
39270;alieze;46.585078016;5.58585556;France
39240;arinthod;46.393818871;5.582269114;France
39210;arlay;46.765371686;5.537548031;France
39270;la chailleuse;46.581654364;5.526378282;France
39800;aumont;46.916358761;5.633131722;France
39700;auxange;47.177696691;5.654431375;France
39200;avignon les st claude;46.401415232;5.841108907;France
39380;bans;46.982403501;5.580664055;France
39100;baverans;47.105995408;5.536574226;France
39190;beaufort orbagna;46.585163377;5.434623271;France
39400;bellefontaine;46.556551899;6.082359393;France
39380;belmont;47.028201675;5.605061014;France
39800;bersaillin;46.857207383;5.595263907;France
39110;bracon;46.925701949;5.868310395;France
39800;buvilly;46.869681049;5.725636745;France
39240;cernon;46.412315932;5.643405536;France
39150;les chalesmes;46.692139123;6.026439714;France
39250;charency;46.766948662;5.991886106;France
39130;charezier;46.614530533;5.726955677;France
39210;chateau chalon;46.759243277;5.648414693;France
39230;le chateley;46.879800002;5.5442929450000005;France
39130;chatillon;46.663026475;5.727169626;France
39200;nanchez;46.500781245;5.861824827;France
39110;chaux champagny;46.884154623;5.879711162;France
39570;chille;46.693041196;5.571909283;France
39110;chilly sur salins;46.870199969;5.858210036;France
39380;chissey sur loue;47.060399995;5.740191409;France
39140;commenailles;46.805895385;5.437128703;France
39570;courlans;46.676012788;5.487388674;France
39570;courlaoux;46.669676119;5.449171257;France
39700;courtefontaine;47.132677999;5.792778762;France
39260;coyron;46.512641842;5.697033148;France
39210;hauteroche;46.699491802;5.697212623;France
39260;crenans;46.466529395;5.7419862340000005;France
39100;crissey;47.051054482;5.478654585;France
39700;dampierre;47.173242784;5.742542149;France
39130;denezieres;46.623880768;5.801157366;France
39120;le deschaux;46.950886325;5.498571507;France
39230;les deux fays;46.885617586;5.487783703;France
39190;digna;46.518360263;5.38498466;France
39100;dole;47.075502708;5.500897034;France
39270;dompierre sur mont;46.562417185;5.612866077;France
39240;dramelay;46.404302536;5.52954359;France
39160;val d epy;46.389785344;5.397605725;France
39320;val d epy;46.389785344;5.397605725;France
39300;equevillon;46.760836092;5.9428508650000005;France
9200;alos;42.897888566;1.129211246;France
39130;etival;46.492221957;5.793862303;France
9400;arignac;42.87585768;1.595543477;France
39230;francheville;46.836292538;5.502884384;France
9460;artigues;42.689846976;2.037910827;France
39130;le frasnois;46.636351633;5.890811397;France
9140;aulus les bains;42.766542296;1.355768892;France
39110;geraise;46.958660024;5.954886904;France
9800;balacet;42.887117793;0.98278804;France
39380;germigney;47.037391858;5.6858203320000005;France
9500;la bastide de bousignac;43.058173549;1.884852447;France
39570;gevingey;46.638116747;5.50962812;France
9240;la bastide de serou;43.024895448;1.392649757;France
39150;grande riviere chateau;46.528638867;5.909426948;France
9600;la bastide sur l hers;42.950959843;1.89986243;France
39320;graye et charnay;46.473281265;5.44835224;France
9600;belloc;43.00739017;1.933669882;France
39110;ivrey;46.989178766;5.896461266;France
9300;benaix;42.895305448;1.850852879;France
39210;ladoye sur seille;46.767223289;5.682794409;France
9800;bethmale;42.853965958;1.07673861;France
9800;bordes uchentein;42.837369269;1.032045893;France
39140;larnaud;46.706103332;5.457630233;France
9700;brie;43.206824744;1.517381142;France
39250;la latette;46.752350191;6.095555289;France
9290;camarade;43.069587717;1.277445001;France
39170;lavans les st claude;46.38753267;5.769814173;France
9500;camon;43.021739562;1.962204382;France
39170;lavans les st claude;46.38753267;5.769814173;France
9460;carcanieres;42.707804729;2.123895517;France
39170;lavans les st claude;46.38753267;5.769814173;France
9500;cazals des bayles;43.092880528;1.939678458;France
39210;lavigny;46.716723376;5.605508663;France
9230;cerizols;43.119836867;1.067612925;France
39210;lavigny;46.716723376;5.605508663;France
9310;chateau verdun;42.781483366;1.677300872;France
39260;lect;46.394732447;5.672467609;France
39110;lemuy;46.889451599;5.982617343;France
39300;lent;46.75111933;5.976163891;France
39250;longcochon;46.770954536;6.075184305;France
39380;la loye;47.030432038;5.552809277;France
39270;marnezia;46.575761446;5.636094441;France
39600;mesnay;46.900018759;5.818250676;France
39250;mignovillard;46.77774079;6.140716692;France
39250;mignovillard;46.77774079;6.140716692;France
39800;molain;46.825383647;5.816773193;France
39500;molay;47.015340653;5.423234616;France
39230;monay;46.83829832;5.5952518520000005;France
39100;monnieres;47.114115559;5.460997029;France
39800;montholier;46.894594959;5.639042641;France
39600;montigny les arsures;46.937006746;5.776683918;France
39300;montigny sur l ain;46.705139659;5.791865625;France
39290;montmirey la ville;47.217230686;5.51656716;France
39290;montmirey le chateau;47.229925885;5.533745481;France
39300;montrond;46.786828301;5.843837081;France
39400;morbier;46.557287203;6.016436172;France
39250;mournans charbonny;46.776692106;5.9905407870000005;France
39310;les moussieres;46.326880758;5.872391483;France
39300;moutoux;46.790797471;5.943902595;France
39160;les trois chateaux;46.419552874;5.35630085;France
39270;nancuise;46.473943072;5.529454815;France
39300;les nans;46.79445617;5.973982908;France
39380;nevy les dole;47.002726559;5.51581086;France
39210;nevy sur seille;46.735070332;5.644726458;France
39290;offlanges;47.203818512;5.560676356;France
39270;onoz;46.448708512;5.663245225;France
39270;orgelet;46.519453561;5.598867642;France
39350;pagney;47.249741201;5.699474911;France
39230;passenans;46.804080834;5.623869417;France
39120;peseux;46.993310722;5.366668785;France
39800;picarreau;46.754640248;5.756814531;France
39800;plasne;46.794313254;5.690542388;France
39570;poids de fiole;46.594688625;5.622458481;France
39800;poligny;46.818861886;5.773947475;France
39300;pont du navoy;46.731661169;5.789236418;France
39120;rahon;46.993964981;5.4744054680000005;France
39190;rotalier;46.583165602;5.476647948;France
39270;rothonay;46.515275321;5.527285899;France
39350;rouffange;47.22663237;5.708697328;France
39220;les rousses;46.498235856;6.06968778;France
39400;les rousses;46.498235856;6.06968778;France
39190;ste agnes;46.614706582;5.474621246;France
39200;st claude;46.408714547;5.875920618;France
39600;st cyr montmalin;46.958784809;5.722490744;France
39570;st didier;46.708595427;5.511372071;France
39320;val suran;46.386313329;5.443105612;France
39320;val suran;46.386313329;5.443105612;France
39170;coteaux du lizon;46.412246961;5.798719091;France
39570;st maur;46.606897999;5.595990619;France
39130;st maurice crillat;46.568096837;5.834026935;France
39700;salans;47.160113967;5.794392815;France
39380;santans;47.042099833;5.665477502;France
39270;sarrogna;46.474500649;5.617408824;France
39130;songeson;46.647137037;5.830542779;France
39130;soucia;46.540172646;5.757784209;France
39380;souvans;46.97920539;5.553672934;France
39120;tassenieres;46.923022059;5.512541577;France
39270;la tour du meix;46.523696813;5.662745455;France
39570;trenal;46.636413188;5.4624955790000005;France
39570;verges;46.658826692;5.684090724;France
39800;villerserine;46.855455889;5.639683999;France
39600;villette les arbois;46.933518721;5.743829779;France
39230;le villey;46.848011647;5.507972027;France
39190;val sonnette;46.602897042;5.464680776;France
39190;val sonnette;46.602897042;5.464680776;France
39230;vincent froideville;46.79367224;5.482371739;France
39240;vosbles valfin;46.348400035;5.52189486;France
58270;anlezy;46.966560312;3.498985277;France
58800;anthien;47.308662574;3.724871048;France
58430;arleuf;47.040464565;4.015692994;France
58420;asnan;47.310372331;3.5523411510000003;France
58110;aunay en bazois;47.124134471;3.719630112;France
58110;biches;46.993703901;3.654343187;France
58270;billy chevannes;47.011971519;3.461879934;France
58120;blismes;47.122483237;3.82148616;France
58530;breves;47.429737821;3.624267859;France
58000;challuy;46.94196697;3.140253373;France
58700;champlin;47.244720142;3.45042992;France
58300;champvert;46.853200997;3.523436401;France
58800;chaumot;47.251871128;3.643272447;France
58350;colmery;47.348513898;3.246722321;France
58800;corbigny;47.256108779;3.689402188;France
58300;cossaye;46.75584565;3.5098283500000003;France
58190;dirol;47.31839342;3.643605188;France
58120;dommartin;47.071580028;3.845762646;France
58140;empury;47.347358725;3.822286786;France
58800;epiry;47.17048431;3.731841261;France
58600;garchizy;47.043647776;3.09366001;France
58300;lamenay sur loire;46.74622068;3.572315444;France
58140;lormes;47.289145913;3.825318823;France
58380;lucenay les aix;46.698049547;3.49197907;France
58260;la machine;46.891574846;3.462345119;France
58400;mesves sur loire;47.230238077;3.00396493;France
58190;metz le comte;47.393000619;3.63581637;France
58140;mhere;47.194724629;3.860095553;France
58190;moissy moulinot;47.327325796;3.707138721;France
58250;montaron;46.876229584;3.74814841;France
58130;montigny aux amognes;47.025418665;3.279291198;France
58230;montsauche les settons;47.214293843;4.033132574;France
58700;moussy;47.196501089;3.458811837;France
58450;neuvy sur loire;47.532184059;2.890145485;France
58320;parigny les vaux;47.100804556;3.14618141;France
58220;perroy;47.404986749;3.164677484;France
58200;pougny;47.393831753;3.023949976;France
58400;raveau;47.17926708;3.11591039;France
58500;rix;47.428512741;3.497810228;France
58110;rouy;47.038444956;3.540866134;France
58470;saincaize meauce;46.907173624;3.086845687;France
58310;st amand en puisaye;47.548323784;3.078355821;France
58150;st andelain;47.310384116;2.979820121;France
58130;st aubin les forges;47.142698568;3.188014293;France
58270;st benin d azy;46.996333663;3.404599867;France
58230;st brisson;47.267265254;4.095032233;France
58220;ste colombe des bois;47.320917806;3.153157406;France
58190;st didier;47.347673421;3.620226539;France
58210;st germain des bois;47.368787274;3.519227773;France
58120;st hilaire en morvan;47.06844189;3.887071717;France
58130;st martin d heuille;47.047771084;3.232701792;France
58490;st parize le chatel;46.850549482;3.184554383;France
58110;st pereuse;47.058655622;3.809291888;France
58210;st pierre du mont;47.397152106;3.445964737;France
58330;st saulge;47.101706892;3.519020775;France
58190;saizy;47.356468636;3.699305614;France
58160;sauvigny les bois;46.97672732;3.265716918;France
58170;savigny poil fol;46.783063431;3.834829642;France
58290;sermages;47.014754309;3.840844707;France
58300;sougy sur loire;46.860833962;3.406365103;France
58420;taconnay;47.312462675;3.489728345;France
58110;tamnay en bazois;47.05447347;3.723322788;France
58250;ternant;46.752204501;3.848258349;France
58110;tintury;47.001103423;3.587717764;France
58150;tracy sur loire;47.328811429;2.913507219;France
58260;trois vevres;46.911289164;3.422713491;France
58640;varennes vauzelles;47.037171544;3.143816706;France
58140;vauclaix;47.226945644;3.818473294;France
58370;villapourcon;46.938009519;3.956586921;France
58210;villiers le sec;47.376396559;3.438075945;France
39500;abergement la ronce;47.064796871;5.3777147020000005;France
39110;aiglepierre;46.955778512;5.809725465;France
39110;andelot en montagne;46.859307701;5.9287358910000005;France
39120;annoire;46.959137146;5.277080177;France
39600;arbois;46.894404349;5.773071251;France
39300;ardon;46.772582561;5.876813684;France
39240;arinthod;46.393818871;5.582269114;France
39600;les arsures;46.952953571;5.78448162;France
39270;la chailleuse;46.581654364;5.526378282;France
39190;augea;46.561977614;5.389704364;France
39270;augisey;46.554958723;5.495274567;France
39100;authume;47.125097086;5.5077556990000005;France
39130;baresia sur l ain;46.542556338;5.702967812;France
39800;bersaillin;46.857207383;5.595263907;France
39250;bief du fourg;46.820307882;6.116823945;France
39140;bletterans;46.73099818;5.426692489;France
39130;boissia;46.580398304;5.721268625;France
39800;brainans;46.874338822;5.627977286;France
39110;cernans;46.93402991;5.938916487;France
39570;cesancey;46.622738688;5.493457369;France
39380;chamblay;46.990400377;5.703642578;France
39290;champagney;47.260097181;5.5044443;France
39300;champagnole;46.744975968;5.8983600670000005;France
39500;champdivers;47.007794972;5.390195236;France
39230;champrougier;46.87911614;5.512528995;France
39230;la chassagne;46.868024219;5.4550856880000005;France
39130;chatel de joux;46.52980412;5.809442391;France
39150;la chaumusse;46.600726273;5.943755309;France
39150;chaux des crotenay;46.66328688;5.957121204;France
39150;nanchez;46.500781245;5.861824827;France
39240;st hymetiere sur valouse;46.347931605;5.5673489830000005;France
39240;st hymetiere sur valouse;46.347931605;5.5673489830000005;France
39240;st hymetiere sur valouse;46.347931605;5.5673489830000005;France
39190;chevreaux;46.499559331;5.43244807;France
39130;chevrotaine;46.652848582;5.860571474;France
39370;choux;46.30173613;5.770142336;France
39570;courbette;46.598515602;5.569052397;France
39300;crans;46.695251604;5.982330751;France
39270;cressia;46.526997962;5.483738782;France
39230;darbonnay;46.825255392;5.60789332;France
39140;desnes;46.767768879;5.468146705;France
39230;domblans;46.769387126;5.587256626;France
39270;ecrille;46.502347659;5.633946941;France
39160;val d epy;46.389785344;5.397605725;France
39320;val d epy;46.389785344;5.397605725;France
39570;l etoile;46.715901208;5.534098399;France
39700;falletans;47.081906099;5.566900417;France
39800;fay en montagne;46.753761219;5.71729563;France
39600;la ferte;46.940273716;5.650059485;France
39130;fontenu;46.672524779;5.814694447;France
39250;fraroz;46.728653012;6.095349334;France
39210;frontenay;46.787924716;5.631315523;France
39320;gigny;46.454282314;5.471075037;France
39150;grande riviere chateau;46.528638867;5.909426948;France
39120;les hays;46.908635733;5.39126767;France
39110;ivory;46.899110215;5.849311438;France
39360;larrivoire;46.339008848;5.787878066;France
39260;lect;46.394732447;5.672467609;France
39240;valzin en petite montagne;46.431656241;5.585594549;France
39400;longchaumois;46.463174814;5.963032775;France
39000;lons le saunier;46.674816281;5.557754161;France
39700;malange;47.183846224;5.614911678;France
39230;mantry;46.794726176;5.555211245;France
39240;marigna sur valouse;46.446461908;5.528323143;France
39130;marigny;46.679329287;5.777720172;France
39600;mathenay;46.929764738;5.679439534;France
39130;mesnois;46.594424045;5.676992017;France
39570;messia sur sorne;46.663781838;5.515367551;France
39250;mieges;46.789982519;6.051455026;France
39250;mieges;46.789982519;6.051455026;France
39250;mignovillard;46.77774079;6.140716692;France
39290;moissey;47.188453105;5.532434426;France
39360;chassal molinges;46.357518899;5.778193947;France
39320;monnetay;46.457979807;5.511419574;France
39210;montain;46.72079781;5.577984309;France
39400;morbier;46.557287203;6.016436172;France
39400;hauts de bienne;46.514383984;5.995902986;France
39330;mouchard;46.977657836;5.789685614;France
39270;moutonne;46.52992345;5.566253083;France
39160;les trois chateaux;46.419552874;5.35630085;France
39140;nance;46.748424371;5.422699141;France
39120;neublans abergement;46.904215976;5.339167367;France
39250;nozeroy;46.770131675;6.036061654;France
39270;orgelet;46.519453561;5.598867642;France
39700;our;47.107219545;5.648897421;France
39300;le pasquier;46.798222911;5.897069634;France
39130;patornay;46.587333549;5.709553322;France
39290;peintre;47.197841354;5.473005162;France
39270;pimorin;46.496029783;5.500632464;France
39210;plainoiseau;46.725144633;5.555650076;France
39130;pont de poitte;46.572002783;5.68755453;France
39110;pont d hery;46.87660733;5.899130373;France
39110;pont d hery;46.87660733;5.899130373;France
39270;presilly;46.557250928;5.581948101;France
39110;pretin;46.931565447;5.835326207;France
39600;pupillin;46.87631303;5.751864403;France
39570;quintigny;46.734446112;5.523936248;France
39290;rainans;47.157753345;5.473721798;France
39230;rye;46.880519205;5.425733112;France
39410;st aubin;47.032617038;5.333128565;France
39300;st germain en montagne;46.77921262;5.937871342;France
39320;val suran;46.386313329;5.443105612;France
39230;st lamain;46.804267629;5.597646331;France
39150;st laurent en grandvaux;46.56967647;5.962581102;France
39120;st loup;46.99639813;5.305116218;France
39150;st pierre;46.568212339;5.903128161;France
39110;st thiebaud;46.971606636;5.879766021;France
39110;saizenay;46.967964379;5.9286458920000005;France
39120;seligney;46.944742626;5.54086847;France
39300;supt;46.85419612;5.981511174;France
39300;syam;46.696810431;5.951906666;France
39500;tavaux;47.037624924;5.402858802;France
39110;thesy;46.904808449;5.929312164;France
39240;thoirette coisia;46.291657094;5.518713624;France
39240;thoirette coisia;46.291657094;5.518713624;France
39600;vadans;46.938400986;5.70563838;France
39300;valempoulieres;46.828094158;5.873941085;France
39300;vannoz;46.773442847;5.912066795;France
39300;le vaudioux;46.687569019;5.928396074;France
39800;vaux sur poligny;46.82299081;5.7271541290000005;France
39570;vernantois;46.627807899;5.578234652;France
39240;vescles;46.358013539;5.611305625;France
39570;vevy;46.666549203;5.663880123;France
39260;villards d heria;46.406275962;5.73542808;France
39570;villeneuve sous pymont;46.69523902;5.552303453;France
39600;villers farlay;46.993775096;5.760324831;France
39230;vincent froideville;46.79367224;5.482371739;France
39210;voiteur;46.743655872;5.602606518;France
39700;vriange;47.18360525;5.584358464;France
21121;ahuy;47.371214576;5.020496119;France
21510;aignay le duc;47.671659569;4.751193926;France
21230;allerey;47.19024207;4.420607175;France
21420;aloxe corton;47.068008045;4.86156952;France
21230;antigny la ville;47.101459482;4.559930499;France
21310;arceau;47.376096012;5.196336831;France
21350;arnay sous vitteaux;47.437236808;4.498765424;France
21360;aubaine;47.130283617;4.733758442;France
21580;avot;47.616734359;5.007235333;France
21410;baulme la roche;47.347733364;4.793730043;France
21320;bellenot sous pouilly;47.286821843;4.546193821;France
21360;bessey en chaume;47.088015422;4.742875853;France
21110;bessey les citeaux;47.145631552;5.147537611;France
21520;bissey la cote;47.912010101;4.706966857;France
21330;bissey la pierre;47.843100453;4.426207708;France
21690;source seine;47.488803885;4.696760719;France
21200;bligny les beaune;46.981841328;4.83078393;France
21360;bligny sur ouche;47.114906921;4.684266306;France
21330;bouix;47.899266371;4.468838468;France
21350;brain;47.463090644;4.505321596;France
21390;braux;47.410359424;4.418554279;France
21390;brianny;47.412152598;4.374237142;France
21500;buffon;47.656080482;4.274404797;France
21110;cessey sur tille;47.282556445;5.229085175;France
21320;chailly sur armancon;47.273253678;4.477709;France
21290;chambain;47.79513604;4.918708604;France
21400;chamesson;47.783268513;4.541453803;France
21500;champ d oiseau;47.554443111;4.347541103;France
21310;charmes;47.372195692;5.350008878;France
21170;charrey sur saone;47.099107946;5.154042673;France
21400;chatillon sur seine;47.858369131;4.591958657;France
21360;chaudenay le chateau;47.179758123;4.642522175;France
21290;chaugey;47.745545857;4.949646789;France
21400;chaumont le bois;47.933853839;4.593057339;France
21220;valforet;47.245760939;4.866785936;France
21270;clery;47.295734009;5.50123924;France
21110;collonges et premieres;47.228638946;5.291997765;France
21200;combertault;46.99156924;4.903258281;France
21700;comblanchien;47.102585062;4.918586014;France
21320;commarin;47.249135548;4.652508683;France
21150;corpoyer la chapelle;47.548960885;4.609722066;France
21120;courtivron;47.534415573;4.95287413;France
21120;crecey sur tille;47.570003665;5.141515403;France
21220;curley;47.203708131;4.910342158;France
21120;dienay;47.521595466;5.059769608;France
21000;dijon;47.322850621;5.037471304;France
21320;eguilly;47.301451523;4.500483593;France
21500;eringes;47.588539264;4.467532468;France
21510;etalante;47.629318672;4.766439896;France
21270;etevaux;47.323005489;5.322056752;France
21450;etormay;47.597679495;4.581363598;France
21290;faverolles les lucey;47.827429144;4.866005642;France
21490;flacey;47.434258335;5.135486762;France
21150;flavigny sur ozerain;47.509014232;4.518814817;France
21140;le val larrey;47.433067236;4.320016084;France
21410;fleurey sur ouche;47.300305297;4.863873416;France
21260;foncegrive;47.617293647;5.143105989;France
21220;gevrey chambertin;47.220053292;4.982552955;France
21640;gilly les citeaux;47.17760782;4.997427841;France
21580;grancey le chateau neuvelle;47.673623157;5.024479447;France
21570;grancey sur ource;47.999372429;4.577357112;France
21150;gresigny ste reine;47.551568194;4.496237286;France
21230;jouey;47.158291874;4.43763018;France
21450;jours les baigneux;47.625090219;4.604121726;France
21210;juillenay;47.361757374;4.271783053;France
21130;labergement les auxonne;47.159922549;5.379729648;France
21440;lamargelle;47.520315127;4.837284317;France
21370;lantenay;47.34391981;4.865525397;France
21170;laperriere sur saone;47.106852648;5.345970133;France
21330;larrey;47.897111685;4.424910489;France
21110;longeault pluvault;47.211203965;5.246810478;France
21290;lucey;47.852249374;4.862922237;France
21450;magny lambert;47.679433815;4.585917585;France
21170;magny les aubigny;47.111881596;5.169002847;France
21400;maisey le duc;47.845075059;4.675938717;France
21350;marcellois;47.348892074;4.6158959710000005;France
21200;marigny les reullee;47.008430095;4.95773717;France
21190;mavilly mandelot;47.060963164;4.730776438;France
21190;merceuil;46.953949309;4.848345096;France
21140;millery;47.513640521;4.317826038;France
21510;moitron;47.681931213;4.808446076;France
21200;montagny les beaune;46.985757587;4.853444653;France
21610;montigny mornay villeneuve vingeanne;47.568488741;5.450612855;France
21610;montigny mornay villeneuve vingeanne;47.568488741;5.450612855;France
21210;montlay en auxois;47.331568537;4.267753395;France
21540;montoillot;47.27226081;4.657937913;France
21320;mont st jean;47.28565988;4.411433989;France
21500;moutiers st jean;47.562129289;4.225073082;France
21800;neuilly crimolois;47.273535518;5.112727427;France
21400;nod sur seine;47.77285353;4.59824463;France
21910;noiron sous gevrey;47.188864915;5.08508035;France
21700;nuits st georges;47.14659194;4.938547235;France
21490;orgeux;47.364558205;5.15151447;France
21450;orret;47.60887188;4.701250579;France
21260;orville;47.560887274;5.217741354;France
21370;pasques;47.377799819;4.851793;France
21120;poiseul les saulx;47.577930533;4.98200027;France
